N,seed,completion_rate,completion_time_s,completed_pois,connectivity_availability,communication_downtime_s,PDR,mean_latency_ms,max_latency_ms,detection_reporting_compliance,reports_delivered,reports_deadline_exceeded,relay_reallocations,recovery_time_s,network_reconfiguration_efficiency,uav_failures,task_recovery_after_failure,performance_after_failure,collision_separation_violations,min_observed_separation,geofence_violations,altitude_violations,battery_exhaustion,max_continuous_sortie_duration,final_landing_status,max_poi_distance_m,max_required_hops,mission_success,comm_success,safety_success,endurance_success,landing_success,full_success
2,6001,0.3,2700.0,3,0.6,1095.0,0.8276,6.06,9.93,0.0,0,4,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1014.89,11,False,False,True,False,False,False
2,7001,0.5,2700.0,5,0.5778,1145.0,0.8562,5.86,9.98,0.1667,1,5,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1119.37,12,False,False,True,False,False,False
2,8001,0.5,2700.0,5,0.0661,1145.0,0.7536,6.83,9.96,0.0,0,6,,,,0,N/A,N/A,0,20.01,0,0,0,1189.0,ALL_LANDED,1038.01,11,False,False,True,True,True,False
3,42,0.8,2700.0,8,0.5843,1142.0,0.7523,6.68,16.5,0.0,0,8,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1077.06,11,False,False,True,False,False,False
3,2026,0.4,2700.0,4,0.1043,1171.0,0.7665,6.82,16.91,0.0,0,6,,,,0,N/A,N/A,0,20.01,0,0,0,1189.0,ALL_LANDED,1091.79,11,False,False,True,True,True,False
3,1001,0.6,2700.0,6,0.0876,1168.0,0.7398,7.05,15.81,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,1189.0,ALL_LANDED,972.39,10,False,False,True,True,True,False
3,2027,0.6,2700.0,6,0.5984,1241.0,0.6712,7.53,19.75,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1070.23,11,False,False,True,False,False,False
3,3001,0.6,2700.0,6,0.5828,1214.0,0.6727,7.49,17.09,0.0,0,6,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1097.73,11,False,False,True,False,False,False
3,4001,0.6,2700.0,6,0.1027,1272.0,0.8056,6.54,15.84,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,1337.0,ALL_LANDED,1027.49,11,False,False,True,False,True,False
3,5001,0.3,2700.0,3,0.6068,1147.0,0.6049,8.36,18.31,0.0,0,3,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1109.38,12,False,False,True,False,False,False
3,6001,0.4,2700.0,4,0.5919,1212.0,0.7661,6.59,16.21,0.0,0,5,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1014.89,11,False,False,True,False,False,False
3,7001,0.8,2700.0,8,0.4952,1260.0,0.627,8.07,18.04,0.1111,1,8,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1119.37,12,False,False,True,False,False,False
3,8001,0.7,2700.0,7,0.5878,1213.0,0.7281,6.91,16.33,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1038.01,11,False,False,True,False,False,False
4,42,1.0,394.0,10,0.5896,1117.0,0.7434,6.75,17.49,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1077.06,11,True,False,True,False,False,False
4,2026,0.5,2700.0,5,0.6114,1078.0,0.7171,7.06,18.78,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1091.79,11,False,False,True,False,False,False
4,1001,0.7,2700.0,7,0.6087,1118.0,0.6789,7.45,16.0,0.0,0,8,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,972.39,10,False,False,True,False,False,False
4,2027,0.7,2700.0,7,0.5591,1129.0,0.6042,8.38,19.69,0.0,0,8,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1070.23,11,False,False,True,False,False,False
4,3001,0.6,2700.0,6,0.5999,1144.0,0.7042,7.19,16.69,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1097.73,11,False,False,True,False,False,False
4,4001,0.6,2700.0,6,0.6222,1123.0,0.5319,10.5,17.63,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1027.49,11,False,False,True,False,False,False
4,5001,0.4,2700.0,4,0.6224,1038.0,0.5895,8.55,17.86,0.0,0,4,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1109.38,12,False,False,True,False,False,False
4,6001,0.5,2700.0,5,0.6099,1097.0,0.7132,7.06,18.92,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1014.89,11,False,False,True,False,False,False
4,7001,0.7,2700.0,7,0.0711,2663.0,0.732,7.6,22.5,0.1429,1,6,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1119.37,12,False,False,True,False,False,False
4,8001,1.0,435.0,10,0.5457,1147.0,0.7169,7.02,18.66,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1038.01,11,True,False,True,False,False,False
5,42,1.0,339.0,10,0.5867,1324.0,0.7317,6.9,17.49,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1077.06,11,True,False,True,False,False,False
5,2026,0.5,2700.0,5,0.6024,1163.0,0.6988,7.36,23.05,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1091.79,11,False,False,True,False,False,False
5,1001,0.8,2700.0,8,0.557,1272.0,0.7126,7.11,17.51,0.0,0,8,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,972.39,10,False,False,True,False,False,False
5,2027,0.8,2700.0,8,0.6167,1256.0,0.732,6.96,19.5,0.0,0,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1070.23,11,False,False,True,False,False,False
5,3001,0.7,2700.0,7,0.5479,1259.0,0.5534,10.1,19.19,0.0,0,8,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1097.73,11,False,False,True,False,False,False
5,4001,0.7,2700.0,7,0.6142,1342.0,0.6546,7.8,18.76,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1027.49,11,False,False,True,False,False,False
5,5001,0.5,2700.0,5,0.6145,1180.0,0.5815,8.71,19.08,0.0,0,5,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1109.38,12,False,False,True,False,False,False
5,6001,0.6,2700.0,6,0.595,1224.0,0.6894,7.38,23.09,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1014.89,11,False,False,True,False,False,False
5,7001,0.9,2700.0,9,0.5028,1261.0,0.7399,6.83,16.77,0.1,1,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1119.37,12,False,False,True,False,False,False
5,8001,1.0,381.0,10,0.5681,1227.0,0.6906,7.34,18.46,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1038.01,11,True,False,True,False,False,False
6,42,1.0,339.0,10,0.6691,1116.0,0.7959,6.44,32.22,0.1,1,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1077.06,11,True,False,True,False,False,False
6,2026,0.9,2700.0,9,0.6084,1256.0,0.6639,7.76,19.29,0.0,0,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1091.79,11,False,False,True,False,False,False
6,1001,1.0,355.0,10,0.6124,1342.0,0.6893,7.35,18.16,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,972.39,10,True,False,True,False,False,False
6,2027,0.8,2700.0,8,0.6203,1327.0,0.6869,7.49,19.5,0.0,0,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1070.23,11,False,False,True,False,False,False
6,3001,0.8,2700.0,8,0.5174,1334.0,0.6274,8.15,19.75,0.0,0,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1097.73,11,False,False,True,False,False,False
6,4001,0.8,2700.0,8,0.6221,1342.0,0.66,7.72,19.47,0.0,0,8,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1027.49,11,False,False,True,False,False,False
6,5001,0.6,2700.0,6,0.582,1173.0,0.5902,8.65,28.93,0.0,0,6,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1109.38,12,False,False,True,False,False,False
6,6001,0.7,2700.0,7,0.5685,1230.0,0.723,7.04,19.57,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1014.89,11,False,False,True,False,False,False
6,7001,1.0,381.0,10,0.6175,1418.0,0.6972,9.27,26.26,0.1,1,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1119.37,12,True,False,True,False,False,False
6,8001,0.7,2700.0,7,0.5593,1376.0,0.5577,9.88,25.61,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1038.01,11,False,False,True,False,False,False
7,42,1.0,339.0,10,0.7166,1115.0,0.7905,6.42,31.72,0.1,1,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1077.06,11,True,False,True,False,False,False
7,2026,1.0,373.0,10,0.6044,1294.0,0.6589,7.79,19.29,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1091.79,11,True,False,True,False,False,False
7,1001,1.0,418.0,10,0.594,1374.0,0.6783,7.48,24.36,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,972.39,10,True,False,True,False,False,False
7,2027,0.9,2700.0,9,0.554,1382.0,0.6638,7.71,19.5,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1070.23,11,False,False,True,False,False,False
7,3001,1.0,381.0,10,0.5137,1371.0,0.6286,8.11,24.47,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1097.73,11,True,False,True,False,False,False
7,4001,1.0,425.0,10,0.6016,1397.0,0.7055,7.2,23.88,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1027.49,11,True,False,True,False,False,False
7,5001,0.7,2700.0,7,0.5844,1185.0,0.5805,8.79,28.84,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1109.38,12,False,False,True,False,False,False
7,6001,0.8,2700.0,8,0.5711,1230.0,0.7056,7.24,28.53,0.0,0,8,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1014.89,11,False,False,True,False,False,False
7,7001,1.0,380.0,10,0.6724,1418.0,0.7147,8.66,26.11,0.1,1,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1119.37,12,True,False,True,False,False,False
7,8001,0.8,2700.0,8,0.6103,1402.0,0.7096,7.19,19.65,0.0,0,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1038.01,11,False,False,True,False,False,False
8,42,1.0,339.0,10,0.753,1113.0,0.7816,6.5,42.41,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1077.06,11,True,False,True,False,False,False
8,2026,1.0,373.0,10,0.6286,1294.0,0.6637,7.74,26.41,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1091.79,11,True,False,True,False,False,False
8,1001,1.0,416.0,10,0.6684,1342.0,0.7127,7.18,32.49,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,972.39,10,True,False,True,False,False,False
8,2027,0.9,2700.0,9,0.6208,1389.0,0.6756,7.69,27.36,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1070.23,11,False,False,True,False,False,False
8,3001,1.0,381.0,10,0.6475,1371.0,0.7222,7.2,32.18,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1097.73,11,True,False,True,False,False,False
8,4001,1.0,425.0,10,0.6619,1395.0,0.7451,6.87,30.62,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1027.49,11,True,False,True,False,False,False
8,5001,0.8,2700.0,8,0.5914,1237.0,0.5671,9.51,27.68,0.0,0,8,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1109.38,12,False,False,True,False,False,False
8,6001,0.9,2700.0,9,0.5769,1256.0,0.713,7.13,24.67,0.0,0,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1014.89,11,False,False,True,False,False,False
8,7001,1.0,379.0,10,0.7264,1142.0,0.7203,8.3,40.27,0.1,1,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1119.37,12,True,False,True,False,False,False
8,8001,0.7,2700.0,7,0.6701,1401.0,0.7348,7.0,32.33,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1038.01,11,False,False,True,False,False,False
9,42,1.0,339.0,10,0.7805,1113.0,0.7852,6.5,42.85,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1077.06,11,True,False,True,False,False,False
9,2026,1.0,373.0,10,0.66,1257.0,0.6671,7.71,27.38,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1091.79,11,True,False,True,False,False,False
9,1001,1.0,415.0,10,0.7149,1115.0,0.7425,6.96,33.81,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,972.39,10,True,False,True,False,False,False
9,2027,0.9,2700.0,9,0.684,1128.0,0.7187,7.31,27.36,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1070.23,11,False,False,True,False,False,False
9,3001,1.0,381.0,10,0.7056,1141.0,0.7366,7.08,33.18,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1097.73,11,True,False,True,False,False,False
9,4001,1.0,425.0,10,0.7228,1119.0,0.7396,7.03,32.89,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1027.49,11,True,False,True,False,False,False
9,5001,0.9,2700.0,9,0.6314,1236.0,0.6115,9.44,27.15,0.0,0,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1109.38,12,False,False,True,False,False,False
9,6001,1.0,316.0,10,0.5625,1265.0,0.6866,7.43,26.02,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1014.89,11,True,False,True,False,False,False
9,7001,1.0,378.0,10,0.7573,1141.0,0.7323,8.06,24.88,0.1,1,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1119.37,12,True,False,True,False,False,False
9,8001,0.7,2700.0,7,0.7176,1143.0,0.7041,8.02,33.41,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1038.01,11,False,False,True,False,False,False
10,42,1.0,339.0,10,0.8026,1112.0,0.7734,6.6,43.29,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1077.06,11,True,False,True,False,False,False
10,2026,1.0,373.0,10,0.6779,1257.0,0.6749,7.63,27.38,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1091.79,11,True,False,True,False,False,False
10,1001,1.0,415.0,10,0.744,1113.0,0.7506,6.87,34.25,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,972.39,10,True,False,True,False,False,False
10,2027,0.9,2700.0,9,0.7164,1125.0,0.726,7.23,34.38,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1070.23,11,False,False,True,False,False,False
10,3001,1.0,381.0,10,0.7353,1139.0,0.7417,7.01,34.47,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1097.73,11,True,False,True,False,False,False
10,4001,1.0,425.0,10,0.7503,1119.0,0.7483,6.93,32.86,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1027.49,11,True,False,True,False,False,False
10,5001,0.9,2700.0,9,0.6251,1264.0,0.6024,9.85,31.11,0.0,0,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1109.38,12,False,False,True,False,False,False
10,6001,1.0,316.0,10,0.6615,1095.0,0.7429,6.97,19.87,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1014.89,11,True,False,True,False,False,False
10,7001,1.0,374.0,10,0.7823,1137.0,0.7317,7.92,43.82,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1119.37,12,True,False,True,False,False,False
10,8001,0.7,2700.0,7,0.746,1142.0,0.7458,6.98,34.25,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1038.01,11,False,False,True,False,False,False
11,42,1.0,339.0,10,0.8209,1110.0,0.7445,6.84,44.94,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1077.06,11,True,False,True,False,False,False
11,2026,1.0,373.0,10,0.7564,1257.0,0.7099,7.28,28.01,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1091.79,11,True,False,True,False,False,False
11,1001,1.0,414.0,10,0.7676,1110.0,0.7343,6.98,41.6,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,972.39,10,True,False,True,False,False,False
11,2027,0.9,2700.0,9,0.7427,1124.0,0.7199,7.22,36.32,0.1,1,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1070.23,11,False,False,True,False,False,False
11,3001,1.0,381.0,10,0.7599,1137.0,0.7264,7.1,34.89,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1097.73,11,True,False,True,False,False,False
11,4001,1.0,425.0,10,0.7727,1119.0,0.732,7.01,26.58,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1027.49,11,True,False,True,False,False,False
11,5001,0.9,2700.0,9,0.6588,1264.0,0.6396,9.27,31.58,0.0,0,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1109.38,12,False,False,True,False,False,False
11,6001,1.0,316.0,10,0.6929,1093.0,0.744,6.91,33.8,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1014.89,11,True,False,True,False,False,False
11,7001,1.0,374.0,10,0.8024,1136.0,0.7094,8.0,45.55,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1119.37,12,True,False,True,False,False,False
11,8001,0.7,2700.0,7,0.7696,1140.0,0.731,7.06,35.58,0.0,0,7,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1038.01,11,False,False,True,False,False,False
12,42,1.0,339.0,10,0.8358,1110.0,0.7363,6.91,26.3,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1077.06,11,True,False,True,False,False,False
12,2026,1.0,373.0,10,0.7823,1074.0,0.7199,7.16,26.41,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1091.79,11,True,False,True,False,False,False
12,1001,1.0,414.0,10,0.7875,1107.0,0.7238,7.09,43.3,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,972.39,10,True,False,True,False,False,False
12,2027,0.9,2700.0,9,0.7637,1123.0,0.7215,7.18,35.76,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1070.23,11,False,False,True,False,False,False
12,3001,1.0,381.0,10,0.7809,1134.0,0.7407,6.92,33.14,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1097.73,11,True,False,True,False,False,False
12,4001,1.0,425.0,10,0.7916,1118.0,0.7219,7.1,35.25,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1027.49,11,True,False,True,False,False,False
12,5001,0.9,2700.0,9,0.687,1264.0,0.6506,8.99,33.44,0.0,0,9,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1109.38,12,False,False,True,False,False,False
12,6001,1.0,316.0,10,0.7198,1091.0,0.7371,6.99,37.07,0.0,0,10,,,,0,N/A,N/A,0,20.01,0,0,0,2699.0,INCOMPLETE,1014.89,11,True,False,True,False,False,False
12,7001,1.0,371.0,10,0.819,1136.0,0.703,7.96,27.45,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1119.37,12,True,False,True,False,False,False
12,8001,0.7,2700.0,7,0.7889,1140.0,0.7221,7.13,35.58,0.0,0,7,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1038.01,11,False,False,True,False,False,False
13,42,1.0,339.0,10,0.8487,1108.0,0.7273,7.06,46.6,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1077.06,11,True,False,True,False,False,False
13,2026,1.0,373.0,10,0.7993,1073.0,0.7163,7.23,27.38,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1091.79,11,True,False,True,False,False,False
13,1001,1.0,413.0,10,0.8042,1108.0,0.7411,6.94,27.02,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,972.39,10,True,False,True,False,False,False
13,2027,0.9,2700.0,9,0.7825,1121.0,0.7246,7.18,37.18,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1070.23,11,False,False,True,False,False,False
13,3001,1.0,381.0,10,0.7977,1134.0,0.7421,6.93,33.14,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1097.73,11,True,False,True,False,False,False
13,4001,1.0,425.0,10,0.8092,1114.0,0.7436,6.9,33.36,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1027.49,11,True,False,True,False,False,False
13,5001,0.9,2700.0,9,0.7249,1032.0,0.6614,8.88,35.06,0.0,0,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1109.38,12,False,False,True,False,False,False
13,6001,1.0,316.0,10,0.7414,1091.0,0.7388,7.0,37.73,0.0,0,10,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1014.89,11,True,False,True,False,False,False
13,7001,1.0,371.0,10,0.8334,1134.0,0.6953,8.04,47.29,0.1,1,9,,,,0,N/A,N/A,0,20.0,0,0,0,2699.0,INCOMPLETE,1119.37,12,True,False,True,False,False,False
